cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe
19333,Republic Bank of Chicago,IL,OAK BROOK,Large Bank Evaluation,04/01/2024,Satisfactory,2681738.0,Low Satisfactory,High Satisfactory,2023/19333_231016.PDF,False,True
20099,Texas Exchange Bank,TX,CROWLEY,Wholesale Bank Evaluation,11/01/2023,Satisfactory,2666616.0,,,2023/20099_230605.PDF,False,False
14863,LINKBANK,PA,CAMP HILL,Intermediate Small Bank Evaluation,07/01/2024,Satisfactory,2663209.0,,,2024/14863_240226.PDF,False,False
90215,Avidia Bank,MA,HUDSON,Large Bank Evaluation,08/01/2025,Satisfactory,2662177.0,Low Satisfactory,Low Satisfactory,2025/90215_250224.PDF,True,True
57591,West Coast Community Bank,CA,SANTA CRUZ,Large Bank Evaluation,03/01/2026,Satisfactory,2650147.0,High Satisfactory,Low Satisfactory,2025/57591_250922.PDF,True,True
57633,1st Security Bank of Washington,WA,MOUNTLAKE TERRACE,Large Bank Evaluation,06/01/2024,Satisfactory,2632273.0,Outstanding,Low Satisfactory,2023/57633_230403.PDF,True,True
19531,Machias Savings Bank,ME,MACHIAS,Large Bank Evaluation,02/01/2026,Outstanding,2611219.0,Outstanding,Outstanding,2025/19531_250908.PDF,False,False
35385,Home Savings Bank,OH,YOUNGSTOWN,Large Bank Evaluation,03/01/2018,Satisfactory,2595590.0,Low Satisfactory,Low Satisfactory,2017/35385_170905.PDF,True,False
33664,State Bank of India,IL,CHICAGO,Wholesale Bank Evaluation,02/01/2024,Satisfactory,2592437.0,,,2023/33664_230828.PDF,False,False
3256,"Horizon Bank, SSB",TX,AUSTIN,Large Bank Evaluation,02/01/2024,Satisfactory,2583927.0,Outstanding,High Satisfactory,2023/3256_231023.PDF,False,False
58309,American Momentum Bank,TX,COLLEGE STATION,Large Bank Evaluation,04/01/2024,Satisfactory,2579369.0,High Satisfactory,Low Satisfactory,2023/58309_231127.PDF,True,True
28679,North Shore Bank,WI,BROOKFIELD,Large Bank Evaluation,12/01/2024,Satisfactory,2569494.0,Low Satisfactory,High Satisfactory,2024/28679_240603.PDF,False,True
33216,Northrim Bank,AK,ANCHORAGE,Large Bank Evaluation,11/01/2023,Satisfactory,2564795.0,High Satisfactory,Low Satisfactory,2023/33216_230605.PDF,True,True
20884,Bank of Guam,GU,HAGATNA,Large Bank Evaluation,08/01/2025,Satisfactory,2563933.0,Low Satisfactory,Low Satisfactory,2025/20884_250317.PDF,True,True
