Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
881447,BJ's Wholesale Club 18,622 Washington St,,Weymouth,MA,02188,3442,NORFOLK,Super Store,42.204304,-70.95163,,,70110
881451,BJ's Wholesale Club 20,650 Memorial Dr,,Chicopee,MA,01020,    ,HAMPDEN,Super Store,42.176514,-72.580063,,,70112
881471,BJ's Wholesale Club 23,460 State Rd,,North Dartmouth,MA,02747,4308,BRISTOL,Super Store,41.640591,-71.001602,,,70127
881484,BJ's Wholesale Club 30,6 Hutchinson Dr,,Danvers,MA,01923,3757,ESSEX,Super Store,42.551872,-70.931488,,,70146
881489,BJ's Wholesale Club 34,901 Technology Center Dr,,Stoughton,MA,02072,4707,NORFOLK,Super Store,42.14925,-71.064476,,,70159
881496,BJ's Wholesale Club 38,777 Washington St,,Auburn,MA,01501,1817,WORCESTER,Super Store,42.181164,-71.853172,,,70178
882704,BJ's Wholesale Club 105,100 Corporate Dr,,Franklin,MA,02038,3184,NORFOLK,Super Store,42.094296,-71.434685,,,70192
881509,BJ's Wholesale Club 47,26 Whittier St,,Framingham,MA,01701,4621,MIDDLESEX,Super Store,42.307735,-71.397324,,,70205
753103,J&G MARKET,274 Hyde Park Ave,,Jamaica Plain,MA,02130,4224,SUFFOLK,Convenience Store,42.292171,-71.117584,,,70206
882708,BJ's Wholesale Club 113,105 Shops at 5 Way,,Plymouth,MA,02360,2676,PLYMOUTH,Super Store,41.926224,-70.652718,,,70207
881513,BJ's Wholesale Club 50,85 Cedar St,,Stoneham,MA,02180,2163,MIDDLESEX,Super Store,42.498478,-71.120041,,,70217
881518,BJ's Wholesale Club 55,287 Washington St,,Attleboro,MA,02703,    ,BRISTOL,Super Store,41.921097,-71.358063,,,70222
881522,BJ's Wholesale Club 58,115 Erdman Way,,Leominster,MA,01453,1805,WORCESTER,Super Store,42.547352,-71.756126,,,70228
881606,Smart Stop Convenience,270 North Ave,,Abington,MA,02351,1815,PLYMOUTH,Convenience Store,42.128139,-70.939751,,,70471
881640,BJ's Wholesale Club 101,688 Providence Hwy,,Dedham,MA,02026,6800,NORFOLK,Super Store,42.239864,-71.177193,,,70487
881967,Walgreens 10272,392 Bedford St,,Whitman,MA,02382,1822,PLYMOUTH,Other,42.071201,-70.947914,,,70594
882778,BJ's Wholesale Club 159,2085 Bay St,,Taunton,MA,02780,1082,BRISTOL,Super Store,41.959846,-71.116203,,,70739
882792,BJ's Wholesale Club 189,25 Shelley Rd,,Haverhill,MA,01835,8033,ESSEX,Super Store,42.757034,-71.11676,,,70778
882823,BJ's Wholesale Club 307,42 Colrain Rd,,Greenfield,MA,01301,9625,FRANKLIN,Super Store,42.588295,-72.622299,,,70822
882837,BJ's Wholesale Club 321,420 Attucks Ln,,Hyannis,MA,02601,8141,BARNSTABLE,Super Store,41.676979,-70.303162,,,70856
858440,CVS Pharmacy Inc. 46,999 Watertown St,,West Newton,MA,02465,2130,MIDDLESEX,Other,42.349701,-71.225731,,,70891
858444,CVS Pharmacy Inc. 130,23 Massachusetts Ave,,Arlington,MA,02474,8602,MIDDLESEX,Other,42.402519,-71.1362,,,70896
858449,CVS Pharmacy Inc. 291,800 Lexington St,,Waltham,MA,02452,4848,MIDDLESEX,Other,42.402866,-71.235168,,,70901
858450,CVS Pharmacy Inc. 307,1735 Massachusetts Ave,,Lexington,MA,02420,5306,MIDDLESEX,Other,42.447552,-71.226952,,,70906
858454,CVS Pharmacy Inc. 1239,110 Turnpike St,,North Andover,MA,01845,5041,ESSEX,Other,42.675613,-71.129173,,,70910
1290401,Dollar Tree 7311,15 Joyce St,,Lynn,MA,01902,3636,ESSEX,Other,42.467644,-70.942116,,,71114
